person_id;ALTSEARCH;DECDIFF;MAX;NEGAFFECT;NEURO;REGRET;SATISF;SELFREPR;t_quest_max;t_quest_min;t_quest_mean;t_quest_std;nr_abandons;nr_scroll;nr_items_scroll;nr_revisit;nr_correct_within_item;nr_correct_between_item;inter_item_interval_max;inter_item_interval_min;inter_item_interval_mean;inter_item_interval_std;time_click_max;time_click_min;time_click_mean;time_click_std;nr_pauses;t_pauses_max;t_pauses_min;t_pauses_mean;t_pauses_std;a_max;a_min;a_mean;a_std;jerk_max;jerk_min;jerk_mean;jerk_std;vt_max;vt_min;vt_mean;vt_std;vx_max;vx_min;vx_mean;vx_std;vy_max;vy_min;vy_mean;vy_std;angles_max;angles_min;angles_mean;angles_std;curvatures_max;curvatures_min;curvatures_mean;curvatures_std;jitter;l_strokes_max;l_strokes_min;l_strokes_mean;l_strokes_std;s;straightness_max;straightness_min;straightness_mean;straightness_std;var_curvatures_max;var_curvatures_min;var_curvatures_mean;var_curvatures_std;w_max;w_min;w_mean;w_std
63;3.5;1.67;1.69;2.8;2.25;1.2;4.2;1.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;2.75;2.92;1.85;3.2;2.92;1.8;4.6;2.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;4.33;3.17;2.92;3.0;2.92;3.2;4.2;2.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;4.25;3.83;2.69;2.8;3.0;4.4;4.0;3.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;3.08;3.58;3.62;2.0;2.92;4.2;2.9;3.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;2.42;3.67;3.08;3.0;3.17;4.6;4.0;3.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;2.75;2.75;1.85;3.2;3.17;1.4;4.2;3.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;1.92;3.25;2.23;3.2;3.17;2.0;3.8;3.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;3.42;2.42;2.31;2.8;2.5;2.4;4.1;2.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;1.92;2.75;2.15;2.6;2.33;1.0;4.0;2.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;2.5;3.33;4.08;3.2;3.25;2.6;3.3;3.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
