person_id,ALTSEARCH,DECDIFF,MAX,NEGAFFECT,NEURO,REGRET,SATISF,SELFREPR,t_quest_max,t_quest_min,t_quest_mean,t_quest_std,nr_abandons,nr_scroll,nr_items_scroll,nr_revisit,nr_correct_within_item,nr_correct_between_item,inter_item_interval_max,inter_item_interval_min,inter_item_interval_mean,inter_item_interval_std,time_click_max,time_click_min,time_click_mean,time_click_std,nr_pauses,t_pauses_max,t_pauses_min,t_pauses_mean,t_pauses_std,a_max,a_min,a_mean,a_std,jerk_max,jerk_min,jerk_mean,jerk_std,vt_max,vt_min,vt_mean,vt_std,vx_max,vx_min,vx_mean,vx_std,vy_max,vy_min,vy_mean,vy_std,angles_max,angles_min,angles_mean,angles_std,curvatures_max,curvatures_min,curvatures_mean,curvatures_std,jitter,l_strokes_max,l_strokes_min,l_strokes_mean,l_strokes_std,s,straightness_max,straightness_min,straightness_mean,straightness_std,var_curvatures_max,var_curvatures_min,var_curvatures_mean,var_curvatures_std,w_max,w_min,w_mean,w_std
101,3.33,3.08,3.69,3,3,4.2,3.6,3,7.876,0.137,3.0701621622,2.4767336327,0,4,12,8,6,3,5.442,0.306,0.8653703704,0.9601438993,0.954,0.076,0.1674074074,0.1612486599,1.5555555556,7.327,1.339,3.9622631579,1.685382819,348472.03125413,-403120.768465461,-0.1277625583,10622.7978508369,165460791.461755,-221578728.87127,1.17212030731056E-009,4749607.72653553,3985.4216185527,0.0417576183,81.0092778263,239.633394139,2532.5139407053,0.0002751136,86.3240424698,234.3985524024,3077.3297869683,0.0046042846,62.4779495148,188.6965265846,2.9010449037,-32.2110994025,-15.5710387732,9.3689008907,6.2260340887,-4.1096717207,0.0018975494,0.1722550938,0.8389055924,1310.1506486311,147.3665179114,448.4816349542,307.7343610141,10402.6429643431,0.9704187482,0.1243751466,0.5336211685,0.2857990204,19.4493273886,-106.2641059988,-0.0064506479,1.1811040554,0.6291495944,-210.668657656,-0.2019920289,3.0839095141
104,2.67,3.33,2.54,3,2.92,4.4,3.9,2.86,15.367,0.139,3.5732439024,3.3068639685,0,6,15,8,12,1,5.143,0.303,1.6537741935,1.1297273068,0.177,0.096,0.1278709677,0.0196809093,1.7222222222,15.742,1.088,4.1887222222,3.5652406309,412844.193987282,-412844.193985606,-0.498790407,12257.3015984934,69195320.7029957,-117819763.948883,-1.49253846997074E-008,2382949.52154441,7151.522355911,0.058381378,74.9212432822,282.7888504177,6573.8349531785,0.0018249215,114.4568856078,323.8322899638,3718.3195169524,0.0007160019,53.0263228841,200.1453542764,29.0569450286,-13.1365499345,9.0492384747,11.8197062816,153.4541249779,-14.9396876789,0.0145640733,1.4912372334,0.9423542628,1633.1947956159,3.4536953464,385.8800488081,371.9096210677,11340.6667345996,0.9999972803,0.0559412058,0.5855605981,0.3092463531,295.7027195954,-23938.1278294691,-2.1463970925,226.4906114656,142.0121222749,-46.2164038576,0.1128128276,2.1761343283
105,3.83,3.08,2.38,3.4,2.67,1.8,3.8,2.14,15.414,0.136,2.8238705882,3.4443989514,2,2,6,60,5,0,2.655,0.375,1.0338695652,0.6767127259,0.013,0.009,0.0106086957,0.0010930265,3.4444444444,11.418,1.121,3.5045,2.1807618708,1447455.45462494,-1273546.40020189,-4.5408256242,13256.1024655751,723727727.277552,-723727727.312869,-3.82246249322812E-008,8704146.98363729,7206.857492787,0.0356036412,44.2834742149,179.8385488405,6247.6775225111,0,55.8912366808,210.5524308745,3660.2553700802,0.000052033,40.4230428013,127.5767048636,45.9668744236,1.4820461045,25.1946407936,11.9368022587,110.8142200757,-29.5234508866,0.0086957699,1.050271227,0.8254879481,1295.1581424119,3,257.2463972681,307.0625642001,14774.6008912573,1,0.0184493535,0.6785594868,0.3175698974,899.5550555654,-12875.0854927257,-0.9452349964,112.683642734,363.0540466926,0.0003558405,0.505849048,5.4151697885
107,3.08,3.25,2.54,2.8,2.42,2.8,4.1,2.14,19.491,0.104,3.7429545455,4.2454760305,0,3,11,16,4,0,4.86,0.291,0.6920909091,0.9361732993,0.153,0.055,0.1047272727,0.0271965603,1.7777777778,8.189,1.152,2.9089090909,1.9763660157,2649372.2046852,-2411677.9667792,-2.956242936,26333.2632653391,883124068.228368,-883124068.22837,-1.01601695140516E-007,11304238.6058733,10097.8440653549,0.0270628234,58.4831776788,294.7561688518,10004.3908490256,0.0013097516,115.1626584885,416.9742652195,4864.102139969,0.0004904063,62.6657510703,194.0849599221,37.8289457867,-1.6186091078,15.5717110154,11.6445991419,14.9523076123,-8.3044478317,0.0027510845,0.2658911369,0.9361900791,2025.2201516916,6.1495514578,353.0270573414,412.0702868107,10166.6493170816,0.9996361104,0.127142703,0.5566271682,0.3171290345,70.6690848524,-995.8579113826,-0.107701042,10.2263649451,1037.3367148079,-0.0341431596,0.3957222434,12.39265609
109,4.75,4.25,3.85,2.4,2.25,4.2,3.9,2.14,10.539,0.158,4.132,3.3096992133,0,2,10,11,3,1,2.701,0.382,0.9470909091,0.5859916156,0.012,0.009,0.0101818182,0.0008331956,1.4444444444,5.575,1.122,2.4524736842,1.013788848,8654688.71409585,-8647594.19303761,-3.6840211223,57752.9458045966,8654688714.05453,-17302282907.1738,-1.1089063800463E-006,90153428.7950985,9069.0708877516,0.1137360853,48.0590426939,205.0248996484,6040.719946265,8.55129655970368E-006,97.767106327,240.0684951821,6764.4474495602,2.82904011329015E-005,70.2524078118,244.8594240953,55.7365243531,1.2415816423,29.6581197599,16.2923941285,9.0382626988,-14.6607179046,0.0066224096,0.2786044516,0.9410606286,1009.5933269409,20.1394793542,259.8900729177,232.4377356099,7354.1674804124,0.9997285255,0.0388549796,0.5649504496,0.3171888412,251.9238921193,-255.7681152013,-0.0155954994,4.7537373478,1050.3303261176,0.0009236262,0.5933553617,13.6623053042
110,3.58,2.33,2,2.2,2.58,1.4,4.5,2.86,14.313,0.157,3.6898484848,2.9645936317,0,5,15,7,1,0,1.375,0.348,0.5499473684,0.2179073859,0.193,0.066,0.1583684211,0.0286929489,1.4444444444,3.689,1.029,2.1378333333,0.8267130531,2072716.03860757,-1888888.04398858,-16.3066760036,22826.1822070808,690905346.202496,-1320534694.19867,-5.43600359670318E-009,11591294.2700802,8406.3904588696,0.1154048613,54.7735893049,239.3187594239,8273.4380009611,0,120.2010500182,330.4257278774,4415.2059909848,0.0045267495,79.4231198518,228.4504565403,55.6904302314,2.0358596339,36.4288010272,17.1911229591,3.9641448283,-5.3658356585,0.0040801483,0.1948884289,0.9618348316,789.7680655282,20,259.3785526582,198.1912572107,6834.2663720244,1,0.1504259482,0.6233980693,0.2891142115,57.3743963021,-21.0113751117,0.0048950468,0.8701639257,528.8213279169,0.0005101518,0.6516695888,9.2796524597
111,2.75,2.08,2.15,3.6,3.67,2.8,3,3.71,10.662,0.171,3.6062903226,2.6688529032,0,1,5,6,5,0,3.089,0.165,0.7793913043,0.7650529245,0.15,0.079,0.1197391304,0.0181448697,1.1111111111,8.498,1.08,3.7381666667,2.2543476576,10291281.0289088,-16341217.2597352,-13.7964373134,98615.597240157,16341217259.8894,-16341216925.8981,-1.31892913736066E-008,139511939.631484,19202.2179836214,0.0608629122,67.6268004131,321.9904560061,8806.1317969748,1.99838723346103E-006,89.6871094572,263.7794516055,17667.8275325299,0,46.5794120946,329.2786995459,17.331223662,-22.5389361509,-4.8614143164,9.1736327958,5.9631673551,-55.6276409562,-0.0088226903,0.7455262399,0.8964560574,1387.5000972104,105.6751748554,427.8548876315,301.3429333741,7867.8264822803,0.9721659829,0.092917706,0.3967621501,0.2525157072,3101.5059180924,-43.2181516533,0.490067618,36.1998497471,34.2256908232,-874.5031386493,-0.1905022129,10.0570308661
116,2.58,2.83,2.38,2.4,2.5,3.4,3.9,2.57,25.845,0.102,6.3241470588,7.0652182562,0,2,13,12,3,0,9.571,0.347,1.615,2.6283368451,0.013,0.011,0.0118095238,0.0004994328,1.7777777778,16.206,1.104,3.7687916667,3.2656902024,8416208.22587368,-8533461.1201872,-5.340769837,60111.7086125825,8533461069.20217,-16949669346.1004,2.15740625891553E-006,90677737.5708913,11319.87150523,0.0548226618,51.0033086139,241.6361775837,8757.2455252554,5.21220044903508E-006,102.2151689686,318.2477569304,9484.730658155,0.0006428287,39.820248012,183.6663146957,22.1173462428,-13.0237626466,3.4663057357,9.6211419889,17.8898091699,-6.0395183935,0.0021713586,0.2293326889,0.953584833,2000.7782793461,10.6095999724,394.5688837153,407.4469757165,11596.7683542836,0.9997734903,0.0888157063,0.5292373199,0.3332344492,45.2763968731,-322.9085736796,-0.0259719777,3.1211016363,56.2939624894,-75.7940666437,0.067815322,1.5559152545
117,2.92,3,3.46,3,2.83,3.8,3.8,2.71,10.666,0.127,2.3855068493,2.9068019433,3,11,37,49,1,0,7.767,0.304,1.1903157895,1.6387059738,0.219,0.196,0.2105789474,0.0070361158,2.2222222222,10.624,1.048,3.7585384615,2.6003315207,20420838.2318171,-19633635.1694225,-0.0488725248,116974.783142505,20420838229.4004,-40054473401.0483,-0.000002289,176591299.538654,20804.8018167272,0.0753179525,73.0998858246,314.8408295995,17631.477155915,0,113.0994038541,314.5020617164,11044.0387510079,2.08520987142861E-005,88.1350922235,347.6189632944,15.0013915608,-57.0764266873,-20.8911949742,19.2030572561,100.1997758317,-9.9849426676,0.0040666511,0.8250288064,0.9242573029,1814.4583883975,54.6740102617,470.39622018,441.5921542798,18073.1432990851,0.9959240376,0.0290251522,0.4776553047,0.3406964481,262.9362773531,-12513.2611069285,-0.733323858,95.9232155408,25.2615898994,-534.0286056174,-0.1675407879,4.4759669533
120,3.25,2.25,2,3,2.92,2,4.1,2.86,13.914,0.134,3.6317021277,3.8766750006,0,4,9,25,1,0,1.983,0.347,0.8465789474,0.3585475548,0.204,0.082,0.1452105263,0.0303758542,2,10.326,1.105,2.8049,1.9289975609,3314262.06433407,-3145625.70608152,-0.0778852704,34304.241591321,1657131031.90027,-3229943885.19237,1.5207542217102E-007,25266362.9261916,8473.7284326138,0.2044222285,38.6783444661,226.4714717896,8163.6970240815,0.0109536032,79.2924629439,314.46897457,6475.1429833756,0.0029614072,54.6854813241,213.2090355065,10.1783782502,-19.981628916,-1.7672002622,6.9577887022,6.2046953768,-3.3839334319,0.0012114066,0.1919365469,0.9486728747,686.1121589484,7.9646065056,246.1585245033,173.9548595885,6842.1788975138,0.999993639,0.1571352278,0.6325464935,0.2642433044,11.932816601,-42.7784193835,-0.0077428537,0.6284068979,31.902249954,-108.2288336916,-0.0422113135,1.4592239723
121,1.83,2.75,2,2.6,2.67,2.2,4.6,2.71,21.069,0.109,6.063875,5.8343841285,1,4,12,16,4,0,16.716,0.432,1.7567727273,3.3803992493,0.166,0.157,0.1608636364,0.0024734123,1.8333333333,5.147,1.261,2.8097916667,1.1172129004,1484506.53928345,-1120867.51697528,-0.0136111592,15951.8489811608,742253266.233033,-742253269.638181,-8.25438087715116E-008,10241825.7175677,5106.6245845365,0.0195698966,27.1594077374,142.7409692413,4768.3731224458,0,88.597114931,243.978889546,3554.0187537982,0.0041398907,56.8077178695,158.1701318364,6.4283666746,-22.0347830593,-4.3179155925,7.7130204325,38.0331823978,-5.6409827752,0.0040140329,0.5227470774,0.9386542258,902.187806042,10,267.4202930835,206.3829290063,8324.6317498404,1,0.0422756054,0.6376403077,0.3311509201,559.5117055831,-1552.1229758393,-0.3353559244,24.7390633663,36.5260094651,-84.2306268853,-0.051774059,1.4336186222
122,3.67,2.5,2.69,2.4,2.33,2.2,4,2.29,12.239,0.106,3.9802727273,3.2159308683,0,2,15,12,0,0,1.593,0.316,0.7149444444,0.3538490689,0.031,0.023,0.0275555556,0.001739164,1.3333333333,4.655,1.016,2.38895,0.9389586506,2579054.39282013,-1566533.31042586,-4.1368653536,31724.2736216353,1289527196.40391,-1506038465.95827,-0.000000438,20815864.6307422,7588.200562721,0.1468886668,78.8862074274,296.3410371915,5223.7549319095,0.0154061946,160.1107086967,337.995168601,6975.7742325021,0.010446883,84.6847744724,326.0335912019,52.6325227982,-19.5139516384,12.6171090018,23.564373886,6.211831776,-3.1752733289,0.0083688305,0.1646253195,0.946688458,2293.0559575869,9.0768813366,436.8746111578,442.9157098105,10687.935275825,0.999045791,0.0758188619,0.3990398735,0.2556127849,10.4628488583,-38.573162118,-0.0106465677,0.6325954667,173.1314321508,-46.3417941961,0.0861617481,2.2928484943
123,3.92,3.92,2.08,2.8,2.58,2.4,4.7,2.43,12.938,0.1,2.9336666667,3.28513885,4,5,22,22,3,2,6.339,0.271,1.037826087,1.3153623291,0.406,0.078,0.1332608696,0.062254888,1.7222222222,5.268,1.271,2.7156363636,1.0446399356,10008189.2567647,-10790553.4639865,-5.2276406402,78941.2772516765,10790553463.9349,-20758453007.9087,-3.84370599331306E-006,125003394.232959,11486.6410549946,0.086701496,34.1630541156,242.4383393661,7527.03427145,0.0089704661,103.5273252374,363.7723104184,11478.9383151684,0.0004669196,76.5830949543,354.0332286849,79.1702018588,-0.0174827051,48.3456882997,22.0587734372,33.9068579969,-65.8531496414,0.0066637005,0.9307867065,0.87570168,1054.9236987605,7.8613063555,330.3822006646,279.4111489398,10204.3675659617,0.9987102057,0.0869767444,0.5636265746,0.3032118656,4377.5499992218,-1366.6441138286,0.371069256,49.2608935888,552.5193456428,-0.0008514572,0.7586747157,11.5850583857
126,2.33,2.58,3.38,3,2.83,3.2,3.9,2.71,22.026,0.365,6.7936521739,4.8542938376,0,3,7,3,1,0,4.629,0.535,2.2172631579,1.0224473654,0.273,0.01,0.1330526316,0.048800856,1.8888888889,5.022,1.017,2.4625714286,1.2166300675,10505495.5634183,-7998116.13638736,-4.3595686282,62414.2726792858,3501831854.48921,-4835088371.86527,9.08651561290058E-007,30042634.4355837,36356.2885284741,0.0416304472,32.7136891051,281.5092557756,16627.3579215386,0.0010288635,78.0483000431,335.909641452,32331.264808459,0,34.950442276,341.7495789658,18.8768527089,-0.0865277962,7.6727979253,4.8763333989,6.4663968734,-7.3667620977,0.0012699857,0.2729553975,0.9376352965,1058.8289818177,3.8891941223,170.6533629289,239.827273837,5759.8444640177,1,0.0491771516,0.7343043638,0.2784215816,64.1113095505,-39.7434088327,0.0019537178,1.513182101,149.5522383264,-8.91771165283115E-005,0.2074619471,2.5884523242
127,3.42,3.58,2.69,3.2,2.75,3.6,4.2,2.43,8.543,0.139,3.2596666667,2.3744830782,0,3,10,9,2,0,2.005,0.326,0.84125,0.4830289717,0.157,0.086,0.1265,0.0173161774,1.1666666667,7.248,1.055,3.4466470588,1.9379455751,14389887.303596,-14667204.9941236,-16.9687644547,126263.412968759,14667204994.1059,-29057092297.6841,-0.000000085,192294557.367683,18684.5669083122,0.1564687295,58.7147052042,330.826061985,8996.7417380344,0.0008114196,71.1458488234,271.1161761168,16375.9481756113,0.0001034816,54.168833186,344.3069937926,23.4447114661,-1.5112383296,9.762881174,6.6040889349,12.4986573924,-9.5823263653,0.0058846194,0.3274194985,0.917095218,1141.786919529,69.731368633,332.6782996395,230.2976755502,6528.9041975583,0.9896755869,0.1877709346,0.5453320048,0.2534848581,116.4317352254,-199.0800023372,-0.0212605518,3.4917656231,935.8850954623,-0.4245502005,0.3163260379,12.1617971423
129,3.58,3.67,2.69,2.6,2.67,1.8,3.9,2.71,8.795,0.112,3.499,2.7237270077,0,1,11,11,1,0,1.512,0.281,0.7413684211,0.3612587949,0.153,0.089,0.1151578947,0.0153082818,1.2222222222,9.272,1.163,3.6425,2.4762899276,1670989.12333998,-2147013.84648379,-1.8826778455,31617.7953125726,1073506923.17573,-1608816696.98085,0.000000341,21577304.3034579,10601.806222173,0.1691780851,98.8180647957,377.7859612382,6374.0429473147,9.16088538362917E-006,141.0519005472,389.8714535855,10497.0711380234,0,49.9290872277,295.9828093312,4.038732486,-50.2371883086,-17.7145443361,14.8463129597,6.767656355,-17.68413202,-0.0030564122,0.258606544,0.96338048,1525.6266883323,73.3389660238,559.1573456484,421.7050610519,11188.5498436597,1,0.0999219381,0.5241033751,0.281371893,672.7687997739,-54.4688468132,0.0574528579,6.4306864236,1.2924764628,-117.980780799,-0.1898595692,2.2154738185
130,4.17,3.92,3,2.2,2.92,3.4,4.3,3.43,14.871,0.102,2.8986557377,3.5812619073,2,6,15,35,4,0,16.515,0.287,2.0662727273,4.3422200562,0.191,0.121,0.1576363636,0.016032766,2.2222222222,7.218,1.113,2.3904,1.5099187749,3837697.60270994,-4515841.77227777,-92.6849844434,39134.9608085885,1279232534.23054,-1505280590.75925,-2.9409325320485E-007,17026517.1271219,20560.4954691377,0.086277759,62.0712548495,318.0409040868,14889.8892163215,0,118.556365665,426.6211946745,14178.3346364128,0,99.7124422599,330.862169257,68.1479486464,-4.349774457,20.8763998948,22.6481913939,6.6386341763,-27.686455647,-0.0021747659,0.4210657045,0.945894789,1726.5755077862,3,402.7875237156,408.5057022436,13924.9867930957,1,0.0359803991,0.5949783541,0.3118314869,525.7729280244,-398.4928431049,0.0213765148,6.6066583776,1233.2066748899,-2.87773422,0.3609370156,11.3629111815
