person_id;ALTSEARCH;DECDIFF;MAX;NEGAFFECT;NEURO;REGRET;SATISF;SELFREPR;v_max;v_min;v_mean;v_std;vx_max;vx_min;vx_mean;vx_std;vy_max;vy_min;vy_mean;vy_std;a_max;a_min;a_mean;a_std;jerk_max;jerk_min;jerk_mean;jerk_std;time_items_max;time_items_min;time_items_mean;time_items_std;time_pauses_max;time_pauses_min;time_pauses_mean;time_pauses_std;l_strokes_max;l_strokes_min;l_strokes_mean;l_strokes_std;l_quest;jitter;straightness_max;straightness_min;straightness_mean;straightness_std;angles_max;angles_min;angles_mean;angles_std;w_max;w_min;w_mean;w_std;curvatures_max;curvatures_min;curvatures_mean;curvatures_std;var_curvatures_max;var_curvatures_min;var_curvatures_mean;var_curvatures_std;nr_pauses;nr_zapp;nr_items_zapp;nr_revisit;nr_correct_within_item;nr_correct_between_item;inter_item_interval_max;inter_item_interval_min;inter_item_interval_mean;inter_item_interval_std;time_click_max;time_click_min;time_click_mean;time_click_std;nr_abandons
20;2.92;2.75;2.15;3.4;3.08;2.2;4.1;2.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;3.42;4.25;3.46;3.4;3.08;4.6;3.5;2.86;12115.009372639219;0.06840258866362721;33.101581262102364;237.51720905251213;5804.102422322755;0.0022588740193948873;133.43986557237997;338.4410165248496;11980.87753006102;0.0;96.46197401656269;430.27683826340103;1252812.567309191;-2874954.6140719387;-7.787308206739017;19605.46900144577;718738653.3565476;-718738653.5145528;1.75122820357681e-07;6655945.9940971825;25.720000000000002;0.12700000000000067;7.290400000000001;7.212472158698429;2.953000000000003;1.0930000000000035;1.830360000000005;0.49957621080271597;1138.4891408395583;18.52126109234203;266.0502213935064;251.81515481818965;8757.42794460003;0.9600971882944752;0.998005602283856;0.0662665459156619;0.602748659426007;0.30981397337736305;10.178779711027516;-9.671982049471096;0.42585546583680084;4.58180565760427;24.93394491890695;-28.424948745650372;0.012195677113210119;0.6901186231691618;11.321531024719592;-7.273715661630605;0.0008570168625150897;0.21306375786523757;54.12099625372067;-208.80341313393095;-0.016411619522429702;2.3473016275832888;1.7777777777777777;7.0;16.0;10.0;2.0;0.0;8.710999999999984;0.6410000000000196;1.6877000000000035;1.868921135307743;0.38700000000000045;0.23800000000002797;0.30080000000000345;0.042497764647094295;0.0
24;3.50;3.25;3.69;3.2;2.92;4.2;3.7;2.71;25328.344020775;0.2276543859538598;83.86231551776778;372.3039612529377;20403.23727330836;5.793708623982499e-06;180.90591958088606;481.87007708123184;15007.761978516613;3.786999513959125e-05;57.88438087423628;299.226849547686;23623901.581943985;-20510981.22174117;-14.698682465457855;149426.3416537582;23623901581.943966;-26021121805.493103;-9.285636565051977e-07;218705621.93410593;10.149000000000001;0.10500000000000043;3.514914285714286;2.912178079046958;6.134;1.1839999999999975;2.9703999999999993;1.5814774864031411;1494.1465942921152;9.194740143929192;386.7882258511072;315.157943668232;11234.08591733379;0.8715246614145012;0.9999156505227828;0.047044205306877675;0.6557251924839946;0.3469991333844818;52.19266178572842;2.4866745003529354;28.795765199377165;11.853731341400195;377.7982778699645;9.353055438497687e-05;0.2596303376369881;4.385925487478095;27.94729168410429;-7.100956016032712;0.008206576080168983;0.3413158838320714;67.26623397683622;-842.0245609787024;-0.07659501633767676;8.314607069290764;1.7222222222222223;1.0;9.0;12.0;1.0;0.0;4.397000000000006;0.26599999999999824;1.205631578947369;1.009578453484232;0.16400000000000148;0.0449999999999946;0.09936842105263166;0.0274345355275473;0.0
25;2.83;1.17;2.23;3.4;2.67;1.4;4;2.14;16494.59815610808;0.2256594120859829;84.29025830331364;458.7394725363849;14247.727600345352;7.190396900111736e-05;182.0691832212927;617.0809750061833;8477.995109812104;0.00014634315448277602;127.49106597633418;467.59142427959165;12784645.052660163;-12093389.041376231;-6.829121958241325;135240.26469273708;12784645039.969656;-12784645052.59912;-2.3376148288958426e-07;191529402.78694928;8.686;0.12299999999999933;2.504473684210526;2.465391980543568;5.299000000000007;1.024000000000001;2.020555555555555;1.0054027508207977;1613.0497340563509;30.58131587776635;396.929958075864;376.5771762126224;9199.241428120044;0.9720368986616501;0.9991425012623384;0.099013556963994;0.6878139201031308;0.29186119142905326;46.93139311025321;-0.30062261765806153;20.266960957417762;12.370752740394936;87.01134544489726;-0.00824918460067349;0.17655132136131133;1.987489431957301;2.737806839914493;-8.012761274553895;0.0021112746365414656;0.1421679171293872;64.4064743786416;-11.247063346979187;0.005396964565377742;0.7265099607982402;1.3333333333333333;8.0;27.0;13.0;2.0;0.0;6.728999999999999;0.25799999999999557;1.1261999999999994;1.4500884317861453;0.117999999999995;0.10699999999999932;0.11120000000000126;0.0021817424229255426;1.0
27;1.75;2.17;2.23;2.8;2.50;2.6;4.2;2.29;103535.13433063071;0.05514118652046983;90.99473462253984;483.9190302280751;97343.44456375136;0.0003053617092504254;205.88699336179425;694.1583910482087;35267.234670804944;0.0;109.44813295063031;434.9347178497434;100195649.11880222;-100798261.27296688;-5.709188506878419;460347.8287120118;100798261233.67163;-200993910391.52347;3.849298683459729e-06;792096804.4128157;11.682999999999993;0.10099999999999909;3.172028571428571;3.055988476845462;4.75;1.1950000000000003;2.35261904761905;0.9996588216172504;1790.6649718165143;42.13183866584065;515.4810890860741;421.08719503754565;14587.475599281333;0.9148576544305788;0.9999965870270023;0.08799875843523763;0.509508884880964;0.329234302834952;2.120845028620285;-16.25395646674295;-6.607021580894406;3.909378467207577;0.006349196355683107;-76.6934259363748;-0.06427334192374966;1.168938538095686;23.969726658914713;-18.926919120689277;0.0004905795226850552;0.2911568987954583;524.2853428413783;-1376.1771346542334;-0.06291196333259107;13.53666810425802;1.4444444444444444;6.0;24.0;10.0;2.0;0.0;5.021000000000001;0.24799999999999045;1.3345999999999971;1.3144855799893758;0.016000000000005343;0.009000000000000341;0.011849999999997963;0.0016515144564924302;1.0
28;3.58;1.83;2.31;3.4;3.00;1.2;3.4;2.71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;4.58;4.17;3.15;3.4;2.75;4.4;3.8;2.29;47859.66338586212;0.17414397050497862;61.33085777954891;408.99955809113726;43483.343552574705;0.0;97.10549142241868;613.6383796360464;19993.65431572699;0.0;108.00251076215399;315.85618799699535;46450574.94696231;-45889512.91940832;-76.81121963505245;184701.82373701257;46450574704.92675;-46450575188.6933;2.0302211934332884e-06;261400712.75678322;6.472999999999999;0.10199999999998965;1.322903614457832;1.5875701036752123;6.234000000000009;1.0969999999999942;2.977454545454545;1.5359287899944762;1706.202292219811;24.000000000000114;446.72969729345283;460.0267532416661;12689.155410184885;0.9107102266920327;1.0;0.05283381617031858;0.4498438674120543;0.28638550876471924;29.841179225309816;-4.749452918918976;9.04719604912669;7.763256381772006;66.01421221008837;-6.787506800203104;0.09026870533129007;1.0898184123734223;17.373590079321083;-32.42270142170234;-0.004268682227598664;0.42810954964314396;817.8181096054919;-392.4475074119946;0.05131018937177123;9.739715430063256;1.8333333333333333;8.0;24.0;48.0;3.0;2.0;6.437000000000001;0.2330000000000041;1.0221304347826112;1.2849136768280611;0.15700000000000003;0.06799999999999784;0.12108695652174069;0.021954326192423386;7.0
30;3.92;2.92;3.54;3.4;3.17;4.8;3.9;3.00;46433.88660436924;0.2843533563727232;83.77776276123349;508.7821305077263;46433.80346514775;0.0004743205863610545;237.03581568541475;858.9848721597291;4745.693408315296;1.1409611033686905e-05;58.72565898102521;209.5955816035372;45372205.09571088;-43578899.812435724;-0.5933101187494998;212656.83603895328;45372204828.16464;-88951104907.72188;-7.467850685738346e-06;344723482.3759849;14.577;0.30700000000000216;4.775250000000001;3.6412169068183773;5.202999999999989;1.0239999999999938;2.093041666666666;0.8048140302354864;1283.658807009764;19.74154877535877;468.18726732405185;297.5711752451327;15020.08305158538;0.9036801132334904;0.9973512535906888;0.10827148388601367;0.5532136889972801;0.3115323583344243;22.728036904894264;-1.1288429202538715;9.567526026675134;6.558480345735436;33.60268832854349;-0.2461775992702946;0.06794223977119669;0.7842786852996552;16.340003098146724;-7.201420819143188;0.0007382568974326552;0.21399060099341383;50.824041827519245;-309.59940847211305;-0.013054027873280725;2.8365244808694867;1.6111111111111112;2.0;5.0;8.0;1.0;0.0;1.3980000000000032;0.2810000000000059;0.6617894736842106;0.2872322696552418;0.1290000000000049;0.027000000000015234;0.06978947368421168;0.020702349084529306;0.0
31;4.00;3.17;3.23;2.8;3.08;3.8;4.2;3.29;7212.678407563725;0.0048030901212716744;48.37725920086355;260.1681910259889;4825.701262292765;0.0;231.68007126987564;428.63933484686413;5360.535154071973;0.0030728550057613747;75.19849737064752;378.93196983434586;388436.08803537925;-566961.1067223815;-13.289211158699427;8999.589044039774;76459418.84467654;-87328849.85927469;7.155274989442359e-10;1931457.6070274736;16.955;0.128;5.754904761904762;3.8702820852621502;2.7280000000000086;1.0600000000000023;1.823923076923078;0.5999765971767274;1030.815446948135;2.4529839348288593;256.54997963432163;218.51930462030262;5957.1930101714715;0.9753565192701579;1.0;0.17054916815852467;0.8377360719005721;0.24280198755343957;21.704548887711887;-3.170990205137304;12.010076551938182;6.3652771684226375;153.51136326492298;-24.35593157554543;0.18119310334932093;3.1700037493969715;3.3552560988729825;-4.464252884698512;0.0035688140778116885;0.14005889593420218;17.137695273570767;-14.445180949472556;0.00032963080664162033;0.38045299410611744;1.2777777777777777;1.0;6.0;0.0;2.0;0.0;6.922999999999998;0.3370000000000033;3.7875500000000017;1.7919310387121479;0.0129999999999999;0.006000000000000227;0.008449999999999758;0.0014309088021252153;0.0
33;3.83;2.67;2.46;3.2;2.75;2.4;4.2;2.43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
