person_id,ALTSEARCH,DECDIFF,MAX,NEGAFFECT,NEURO,REGRET,SATISF,SELFREPR,t_quest_max,t_quest_min,t_quest_mean,t_quest_std,nr_abandons,nr_scroll,nr_items_scroll,nr_revisit,nr_correct_within_item,nr_correct_between_item,inter_item_interval_max,inter_item_interval_min,inter_item_interval_mean,inter_item_interval_std,time_click_max,time_click_min,time_click_mean,time_click_std,nr_pauses,t_pauses_max,t_pauses_min,t_pauses_mean,t_pauses_std,a_max,a_min,a_mean,a_std,jerk_max,jerk_min,jerk_mean,jerk_std,vt_max,vt_min,vt_mean,vt_std,vx_max,vx_min,vx_mean,vx_std,vy_max,vy_min,vy_mean,vy_std,angles_max,angles_min,angles_mean,angles_std,curvatures_max,curvatures_min,curvatures_mean,curvatures_std,jitter,l_strokes_max,l_strokes_min,l_strokes_mean,l_strokes_std,s,straightness_max,straightness_min,straightness_mean,straightness_std,var_curvatures_max,var_curvatures_min,var_curvatures_mean,var_curvatures_std,w_max,w_min,w_mean,w_std
34,3.58,3.42,2.85,3,2.83,2.6,3.6,2.71,8.986,0.128,2.6079333333,2.5741158258,0,1,8,20,5,0,3.05,0.224,1.3115652174,0.7652078903,0.157,0.06,0.0971304348,0.0276032518,1.2222222222,5.063,1.077,2.5798571429,1.0816962115,7777210.08980688,-5856493.24947056,-4.2791458427807E-010,56471.3620640757,7777210089.80688,-7777210089.80676,1.66706426597792E-006,80847882.8922736,7777.210089807,0.4834320185,49.4297581646,185.9816614985,6977.3081140642,0.000453635,28.1886923323,140.9573558525,4582.0014630469,0.0014267235,27.713928874,124.9033186429,20.4327426939,-11.0001747617,3.2613248756,7.0238227137,1404.1591987683,-23.5421877159,0.2646983804,18.276033156,0.9309699648,855.2146115697,4.8997321852,258.1322439402,243.2339912392,5990.3928521608,0.9997100581,0.1433962842,0.5956752088,0.3080785924,89320.3732348622,-2183270.86834735,-353.3983822598,28385.303496512,50.8571122513,-12.7310076562,0.0338033134,0.7769060267
35,4.17,2.42,2.69,3,2.75,1.8,4,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2,2.42,1.92,3.4,3.17,1,4.2,3,11.574,0.117,2.7323684211,2.827186973,0,0,0,22,1,0,3.073,0.559,1.1130666667,0.6043638492,0.013,0.006,0.0101333333,0.0022764495,1.2666666667,9.564,1.204,3.4631111111,2.6537894685,6086953.28841586,-3886797.56948144,-1.0816959872152E-010,46111.9044263452,1521738322.10397,-2493437714.47433,5.10509374426174E-008,18715179.7895813,24347.8131536634,0.1896244414,41.7623109798,228.2902504102,22335.454203709,2.84217094303693E-011,28.7323939421,208.5241449473,9692.445041357,0.0350796587,18.5517466716,95.9608892127,10.7126753546,-9.7401441779,3.1717840206,5.3805685512,7.3504413728,-28.1484456087,-0.0134772994,0.6752234824,0.8851841851,1123.0163971187,6,238.3621211534,274.7477106896,5027.5519389971,1,0.1199158825,0.7028222262,0.2985474291,1561.6962388707,-164.0550752169,0.4531718355,25.6957839523,40.6797225377,-12.8704961882,0.0428388455,0.7408585836
37,2.83,3,1.69,3,2.83,2.4,3.8,2.71,16.407,0.227,5.1307407407,3.561289785,0,3,20,4,2,0,1.944,0.005,0.65305,0.3661227219,0.161,0.11,0.1357,0.0157990506,1.1666666667,15.499,1.58,4.3096,2.8344617549,2193258.6785899,-3419792.72673281,9.58228143700777E-011,29614.0992873632,1709007717.12296,-1709896363.35824,-0.000000132,19408849.0771761,11590.6917901963,0.257522783,51.4952626841,288.9010864354,8156.7422497361,0.0023644942,38.6424178712,219.6294995945,8234.7854888088,0.0029368706,24.6595580722,189.1484931663,10.30899446,-7.8758673709,2.8680394292,3.4184595904,7.3385049006,-70.046037944,-0.0108380824,0.8538545419,0.9567017032,2209.0179722971,9.9330783775,326.3729265016,522.8570746704,7819.9957046906,0.9994459381,0.0448883914,0.589269699,0.2823646035,4909.7890896979,-366.9808656348,0.6350074293,57.883399438,7.6412148831,-3.885748863,0.0192751794,0.1753398755
38,4.67,3.42,3.38,3.8,3.67,4,4.6,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.83,2,1.23,3.2,2.75,2,4.2,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3,1.75,3.46,2.8,2.67,2.4,4.4,2.57,6.576,0.104,1.7694807692,1.915570155,3,8,37,12,16,0,6.998,0.304,1.421625,1.6337203086,0.128,0.057,0.0985588235,0.0175603014,1.2777777778,7.407,1.016,2.5197826087,1.4225958195,52743594.9113772,-39771215.7317295,8.60613927226007E-009,329684.628368481,52743594893.8886,-92514810643.9797,-1.73272062192399E-005,521273985.33813,56514.5361552689,0.3721419543,153.9785345648,700.6550216943,56264.5742799934,0.00015454,127.1741122232,585.9714542835,27129.6302221405,3.89104570784145E-005,50.5806700921,390.5542782896,4.5277900986,-29.1606471825,-12.8084737917,6.8335524196,7.6390668463,-6.9689296766,-0.0008328629,0.2077963079,0.9587034631,2831.5958396691,23.3826582652,862.6136011058,770.1057367854,20814.4752878749,0.999891194,0.0254511916,0.4110588148,0.3335877407,82.4595088588,-61.8056107053,0.0070046515,1.0593311666,1.180680642,-20.2902245897,-0.0512711086,0.4317914439
43,3.67,3.33,2.15,3.2,2.92,3.2,3.9,2.71,15.766,0.137,5.7413076923,4.0061516808,0,2,7,5,0,0,2.655,0.316,0.9500555556,0.652434541,0.011,0.003,0.0073888889,0.0015325682,1.7777777778,14.281,1.105,3.5318387097,2.5932938091,445779.811531344,-372580.512925449,1.65554826344044E-011,7757.7320008283,49531090.1702256,-65890474.100867,-1.18495033985187E-009,1239857.79934316,6899.1517517344,0.0802265934,37.4564828824,181.5294494098,3529.1077000314,1.26318708579569E-011,30.0051868869,141.046734589,5928.2116810248,0.0011073371,14.2743217518,115.5754310964,19.5902154243,-14.1371669412,2.2675144177,10.208261547,8.9509791395,-7.6939756546,0.0025359918,0.2111246914,0.9648935637,1252.089602737,10.1935570475,175.7706450834,222.7321893367,5922.2157431913,1,0.0893212068,0.8074051771,0.2505408235,79.2358405891,-101.7161159694,-6.83792531623605E-005,1.7999605444,216.7325229702,-12.2193671829,0.0459746853,2.9518357646
45,3,2.92,1.92,2.8,2.25,1.6,4,1.86,17.419,0.104,3.7926756757,3.8460082856,0,2,6,16,1,0,1.953,0.42,0.9704210526,0.4084898138,0.01,0.007,0.0083157895,0.0007292846,1.4444444444,14.616,1.238,3.46896,3.0634202386,3351042.6995361,-2991289.60898619,-1.03261425163789E-010,22379.1796385604,1675521341.65213,-1675521349.76005,-4.95492106500386E-007,16019535.7114503,10934.9439792942,0.1775821272,40.4288566081,232.7478056913,4195.2252034857,0.0041483206,30.3462875135,140.8511890175,10098.172375353,2.84217094303693E-011,17.2885406316,186.405968923,9.9530881279,-15.1369913823,-1.5797743565,7.1318915454,5.0616205753,-5.9244805045,-0.0020433631,0.2094314791,0.9390549128,1166.1774887057,3.0857142857,211.4955761184,251.7528990222,6390.0129841772,0.9996167808,0.2251098307,0.742549912,0.2420758771,60.8168630397,-48.5697876769,-0.0052673184,1.2077355778,28.165535885,-22.5835349717,0.0050298564,0.6544606842
46,3.25,2.67,3.15,2.4,2.58,2.2,4.4,2.71,11.204,0.102,2.7145555556,2.7882010732,0,2,6,21,4,0,2.739,0.292,0.7435454545,0.6089143638,0.012,0.006,0.0087272727,0.0017627927,1.2777777778,8.909,1.072,2.9897272727,2.0463577884,1720564.38314583,-1679595.8124707,-7.55623123319258E-012,21015.8664679419,618646728.026179,-573521461.048588,-3.36240935831594E-008,9374893.85756429,11177.2696161469,0.2381186835,73.4522880394,311.4827354035,6041.5842783605,0.0006781885,46.5834752406,235.8305667773,10293.3827475501,0.0230012559,40.4362925478,207.353714521,19.3311887858,-22.5358744067,-0.3078391673,12.0957844985,9.6588630016,-31.4400292911,-0.013784247,0.5323964647,0.7669337377,1480.1068148966,78.4688820053,384.7432540678,326.2000459701,9884.3335936182,0.9954015256,0.0760258222,0.4630033696,0.3011342211,985.6717729661,-248.5127949441,0.1244909935,12.0963441046,19.1648802528,-11.4710779023,-0.0089043339,0.547260924
